"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","21","18","18","1","23.566347","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","21","12","12","1","13.979447","0","12"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","21","12","12","1","13.377277","0","12"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","21","36","36","1","160.316132","0","36"
"/OculusXR/Materials/M_JFAPass.M_JFAPass","21","2","2","1","4.126405","0","2"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","6","6","1","12.918440","0","6"
"/OculusXR/Materials/M_CreateMask.M_CreateMask","21","2","2","1","4.481240","0","2"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","4","4","1","7.123387","0","4"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","32","32","1","57.177090","0","32"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","36","36","1","154.877945","0","36"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","60","60","1","299.264893","0","60"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","132","132","1","781.820984","0","132"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","478","478","1","1333.362183","0","478"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","18","18","1","74.622017","0","18"
"/Game/WhiteBoard/M_WhiteBoard.M_WhiteBoard","21","12","12","1","62.742336","0","12"
"/OculusXR/Materials/M_BlobShadow.M_BlobShadow","21","2","2","1","4.669253","0","2"
"/Game/StarterContent/Materials/M_Glass.M_Glass","21","11","11","1","24.279909","0","11"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","21","24","24","1","122.504059","0","24"
"/Game/VRTemplate/Materials/M_Projectile.M_Projectile","21","12","12","1","0.000000","0","12"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","21","2","2","1","3.890241","0","2"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","7","7","1","7.201301","0","7"
"/OculusXR/Materials/M_DistanceMapAll.M_DistanceMapAll","21","2","2","1","3.053387","0","2"
"/OculusXR/Materials/M_DistanceMapOccupied.M_DistanceMapOccupied","21","2","2","1","3.098283","0","2"
"/OculusXR/Materials/M_DistanceMapFree.M_DistanceMapFree","21","2","2","1","3.018043","0","2"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","2","1","3.102777","0","2"
"/Game/VRTemplate/Materials/M_TeleportNoise.M_TeleportNoise","21","6","6","1","20.871786","0","6"
"/Game/VRTemplate/Materials/M_TeleportCylinder.M_TeleportCylinder","21","6","6","1","21.504786","0","6"
"/Game/FPWeapon/Materials/M_FPGun.M_FPGun","21","36","36","1","144.584564","0","36"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","21","48","48","2","274.189056","0","48"
"/Game/VRTemplate/Materials/M_GridRotation.M_GridRotation","21","48","48","2","282.104156","0","48"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","21","52","52","6","65.946564","0","52"
"/Game/Characters/MannequinsXR/Materials/M_Mannequin.M_Mannequin","21","48","48","2","260.295349","0","48"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","21","12","12","1","62.594021","0","12"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","21","24","24","1","129.350632","0","24"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","21","148","148","6","625.043518","0","148"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","21","40","40","2","350.527649","0","40"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","21","148","148","6","800.193054","0","148"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","21","148","148","6","813.606506","0","148"
"/InterchangeAssets/gltf/M_Default.M_Default","21","148","148","6","668.569092","0","148"
